Group,Cage #,Bird number,Weight,Slide Number,MO / Slide
NTC,1,4,520,1,0
NTC,1,4,520,2,0
NTC,1,4,520,3,1
NTC,1,4,520,4,2
NTC,1,4,520,5,2
NTC,1,4,520,6,2
NTC,1,4,520,7,0
NTC,1,4,520,8,1
NTC,1,4,520,9,0
NTC,1,4,520,10,0
NTC,1,10,464,1,3
NTC,1,10,464,2,0
NTC,1,10,464,3,0
NTC,1,10,464,4,0
NTC,1,10,464,5,3
NTC,1,10,464,6,4
NTC,1,10,464,7,2
NTC,1,10,464,8,2
NTC,1,10,464,9,1
NTC,1,10,464,10,2
NTC,1,24,550,1,0
NTC,1,24,550,2,0
NTC,1,24,550,3,1
NTC,1,24,550,4,0
NTC,1,24,550,5,0
NTC,1,24,550,6,1
NTC,1,24,550,7,0
NTC,1,24,550,8,0
NTC,1,24,550,9,1
NTC,1,24,550,10,0
NTC,1,33,490,1,15
NTC,1,33,490,2,9
NTC,1,33,490,3,9
NTC,1,33,490,4,9
NTC,1,33,490,5,10
NTC,1,33,490,6,13
NTC,1,33,490,7,10
NTC,1,33,490,8,7
NTC,1,33,490,9,14
NTC,1,33,490,10,15
NTC,1,39,524,1,1
NTC,1,39,524,2,1
NTC,1,39,524,3,1
NTC,1,39,524,4,5
NTC,1,39,524,5,3
NTC,1,39,524,6,0
NTC,1,39,524,7,3
NTC,1,39,524,8,1
NTC,1,39,524,9,10
NTC,1,39,524,10,4
NTC,1,45,532,1,8
NTC,1,45,532,2,4
NTC,1,45,532,3,5
NTC,1,45,532,4,7
NTC,1,45,532,5,3
NTC,1,45,532,6,1
NTC,1,45,532,7,4
NTC,1,45,532,8,9
NTC,1,45,532,9,2
NTC,1,45,532,10,0
NTC,1,52,463,1,1
NTC,1,52,463,2,3
NTC,1,52,463,3,7
NTC,1,52,463,4,5
NTC,1,52,463,5,21
NTC,1,52,463,6,8
NTC,1,52,463,7,10
NTC,1,52,463,8,11
NTC,1,52,463,9,18
NTC,1,52,463,10,12
100mg/kg,4,6,543,1,0
100mg/kg,4,6,543,2,0
100mg/kg,4,6,543,3,0
100mg/kg,4,6,543,4,0
100mg/kg,4,6,543,5,1
100mg/kg,4,6,543,6,2
100mg/kg,4,6,543,7,0
100mg/kg,4,6,543,8,0
100mg/kg,4,6,543,9,0
100mg/kg,4,6,543,10,2
100mg/kg,4,11,493,1,0
100mg/kg,4,11,493,2,0
100mg/kg,4,11,493,3,0
100mg/kg,4,11,493,4,0
100mg/kg,4,11,493,5,0
100mg/kg,4,11,493,6,0
100mg/kg,4,11,493,7,0
100mg/kg,4,11,493,8,0
100mg/kg,4,11,493,9,0
100mg/kg,4,11,493,10,0
100mg/kg,4,17,378,1,0
100mg/kg,4,17,378,2,0
100mg/kg,4,17,378,3,0
100mg/kg,4,17,378,4,0
100mg/kg,4,17,378,5,0
100mg/kg,4,17,378,6,0
100mg/kg,4,17,378,7,0
100mg/kg,4,17,378,8,0
100mg/kg,4,17,378,9,0
100mg/kg,4,17,378,10,0
100mg/kg,4,22,482,1,0
100mg/kg,4,22,482,2,3
100mg/kg,4,22,482,3,0
100mg/kg,4,22,482,4,1
100mg/kg,4,22,482,5,2
100mg/kg,4,22,482,6,1
100mg/kg,4,22,482,7,2
100mg/kg,4,22,482,8,0
100mg/kg,4,22,482,9,1
100mg/kg,4,22,482,10,0
100mg/kg,4,29,518,1,1
100mg/kg,4,29,518,2,1
100mg/kg,4,29,518,3,2
100mg/kg,4,29,518,4,1
100mg/kg,4,29,518,5,0
100mg/kg,4,29,518,6,0
100mg/kg,4,29,518,7,0
100mg/kg,4,29,518,8,1
100mg/kg,4,29,518,9,0
100mg/kg,4,29,518,10,1
100mg/kg,4,37,513,1,0
100mg/kg,4,37,513,2,2
100mg/kg,4,37,513,3,3
100mg/kg,4,37,513,4,1
100mg/kg,4,37,513,5,0
100mg/kg,4,37,513,6,1
100mg/kg,4,37,513,7,1
100mg/kg,4,37,513,8,1
100mg/kg,4,37,513,9,0
100mg/kg,4,37,513,10,1
100mg/kg,4,44,527,1,0
100mg/kg,4,44,527,2,0
100mg/kg,4,44,527,3,0
100mg/kg,4,44,527,4,0
100mg/kg,4,44,527,5,0
100mg/kg,4,44,527,6,1
100mg/kg,4,44,527,7,0
100mg/kg,4,44,527,8,0
100mg/kg,4,44,527,9,0
100mg/kg,4,44,527,10,0
100mg/kg,4,46,444,1,2
100mg/kg,4,46,444,2,0
100mg/kg,4,46,444,3,0
100mg/kg,4,46,444,4,0
100mg/kg,4,46,444,5,0
100mg/kg,4,46,444,6,0
100mg/kg,4,46,444,7,0
100mg/kg,4,46,444,8,1
100mg/kg,4,46,444,9,0
100mg/kg,4,46,444,10,0
100mg/kg,4,49,537,1,0
100mg/kg,4,49,537,2,1
100mg/kg,4,49,537,3,1
100mg/kg,4,49,537,4,1
100mg/kg,4,49,537,5,0
100mg/kg,4,49,537,6,3
100mg/kg,4,49,537,7,2
100mg/kg,4,49,537,8,0
100mg/kg,4,49,537,9,0
100mg/kg,4,49,537,10,1
100mg/kg,4,53,486,1,1
100mg/kg,4,53,486,2,1
100mg/kg,4,53,486,3,1
100mg/kg,4,53,486,4,1
100mg/kg,4,53,486,5,1
100mg/kg,4,53,486,6,0
100mg/kg,4,53,486,7,1
100mg/kg,4,53,486,8,0
100mg/kg,4,53,486,9,0
100mg/kg,4,53,486,10,1
25mg/kg,5,2,572,1,4
25mg/kg,5,2,572,2,1
25mg/kg,5,2,572,3,0
25mg/kg,5,2,572,4,1
25mg/kg,5,2,572,5,0
25mg/kg,5,2,572,6,0
25mg/kg,5,2,572,7,2
25mg/kg,5,2,572,8,1
25mg/kg,5,2,572,9,0
25mg/kg,5,2,572,10,0
25mg/kg,5,12,439,1,0
25mg/kg,5,12,439,2,0
25mg/kg,5,12,439,3,0
25mg/kg,5,12,439,4,0
25mg/kg,5,12,439,5,2
25mg/kg,5,12,439,6,0
25mg/kg,5,12,439,7,1
25mg/kg,5,12,439,8,3
25mg/kg,5,12,439,9,0
25mg/kg,5,12,439,10,0
25mg/kg,5,15,445,1,0
25mg/kg,5,15,445,2,0
25mg/kg,5,15,445,3,0
25mg/kg,5,15,445,4,0
25mg/kg,5,15,445,5,1
25mg/kg,5,15,445,6,0
25mg/kg,5,15,445,7,1
25mg/kg,5,15,445,8,0
25mg/kg,5,15,445,9,0
25mg/kg,5,15,445,10,0
25mg/kg,5,23,482,1,0
25mg/kg,5,23,482,2,0
25mg/kg,5,23,482,3,5
25mg/kg,5,23,482,4,3
25mg/kg,5,23,482,5,2
25mg/kg,5,23,482,6,4
25mg/kg,5,23,482,7,2
25mg/kg,5,23,482,8,6
25mg/kg,5,23,482,9,4
25mg/kg,5,23,482,10,2
25mg/kg,5,27,476,1,1
25mg/kg,5,27,476,2,0
25mg/kg,5,27,476,3,1
25mg/kg,5,27,476,4,0
25mg/kg,5,27,476,5,1
25mg/kg,5,27,476,6,0
25mg/kg,5,27,476,7,1
25mg/kg,5,27,476,8,0
25mg/kg,5,27,476,9,0
25mg/kg,5,27,476,10,1
25mg/kg,5,32,445,1,5
25mg/kg,5,32,445,2,4
25mg/kg,5,32,445,3,3
